"unitid","institution name","year","DRVGR2013.Graduation rate, total cohort","DRVIC2013.Percent admitted - total","DRVIC2013.Admissions yield - total","DRVIC2013.Tuition and fees, 2013-14","DRVIC2013.Total price for in-state students living on campus 2013-14","DRVIC2013.Total price for out-of-state students living on campus 2013-14","DRVEF2013.Total  enrollment","DRVEF2013.Undergraduate enrollment","DRVEF2013.Percent of total enrollment that are American Indian or Alaska Native","DRVEF2013.Percent of total enrollment that are Asian","DRVEF2013.Percent of total enrollment that are Black or African American","DRVEF2013.Percent of total enrollment that are Hispanic/Latino","DRVEF2013.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2013.Percent of total enrollment that are White","EF2013D.Student-to-faculty ratio","EF2013D.Full-time retention rate, 2013","SFA1213.Percent of full-time first-time undergraduates receiving any financial aid","SFA1213.Average amount of federal, state, local or institutional grant aid received","SFA1213.Average amount of student loan aid received by full-time first-time undergraduates","SFA1213.Average net price-students receiving grant or scholarship aid, 2012-13","SFA1213.Average net price (income 0-30,000)-students receiving Title IV Federal financial aid,2012-13","SFA1213.Average net price-students receiving grant or scholarship aid, 2012-13","SFA1213.Average net price (income 0-30,000)-students receiving Title IV Federal financial aid, 2012-13","IC2013.SAT Critical Reading 25th percentile score","IC2013.SAT Critical Reading 75th percentile score","IC2013.SAT Math 25th percentile score","IC2013.SAT Math 75th percentile score","IC2013.SAT Writing 25th percentile score","IC2013.SAT Writing 75th percentile score","IC2013.ACT Composite 25th percentile score","IC2013.ACT Composite 75th percentile score"
"208646","Eastern Oregon University","2013","23","67","42","7530","21090","30315","4157","3754","2","2","3","6","1","78","25","64","94","5595","6399","13135","11709",,,"410","530","410","520","410","500",,
"208965","ITT Technical Institute-Portland","2013","25","83","49","18048",,,"605","605","2","5","5","4","0","79","17",,"82","4046","7344",,,"23627","23051",,,,,,,,
"209056","Lewis & Clark College","2013","75","63","12","41928","55666","55666","3521","2126","2","6","2","8","0","63","11","86","90","21450","7394",,,"32003","19244","600","700","580","670","580","690","26","31"
"209287","Multnomah University","2013","47","54","58","21850","35395","35395","777","438","1","3","3","6","1","80","15","67","93","8735","7750",,,"25198","21322","500","650","490","580","490","590","19","27"
"209490","Oregon Health & Science University","2013",,,,,,,"2838","832","0","10","1","5","0","73","8",,,,,,,,,,,,,,,,
"209506","Oregon Institute of Technology","2013","44","71","18","8548","21163","34803","4407","4366","1","5","1","7","0","75","21","74","89","5320","6198","13000","10722",,,"440","550","460","580","420","530","20","25"
"209533","Oregon College of Art and Craft","2013","33","31","76","27145","37745","37745","156","139","2","3","1","11","2","56","8","53","100","10251","5135",,,"25612","25783",,,,,,,,
"209542","Oregon State University","2013","61","79","36","8322","23559","38751","27902","23157","1","6","1","7","0","66","23","84","86","6886","6221","16219","13854",,,"480","600","490","630",,,"21","27"
"209551","University of Oregon","2013","67","74","26","9763","24352","44377","24473","20797","1","5","2","8","0","65","21","87","68","7401","7121","15362","11496",,,"490","600","500","620",,,"22","27"
"209603","Pacific Northwest College of Art","2013","36","65","30","32417","48221","48221","517","413","2","3","1","4","0","75","7","74","100","13953","7110",,,"29282","24874",,,,,,,,
"209612","Pacific University","2013","62","86","18","37024","50486","50486","3583","1785","1","14","1","7","1","59","10","79","99","20132","8078",,,"27790","21341","490","600","500","610",,,"21","27"
"209807","Portland State University","2013","42","61","42","7878","23528","38738","28260","22927","1","7","3","9","1","61","21","73","76","7115","6076","12717","11306",,,"460","590","460","580",,,,
"209922","Reed College","2013","82","49","25","46010","59630","59630","1411","1395","0","5","2","10","0","60","9","94","53","38280","4621",,,"19424","12374","660","750","620","720","638","720","28","33"
"210076","Pioneer Pacific College","2013","70",,,"14097",,,"1109","1109","2","2","2","10","1","81","10",,"95","5034","9849",,,"19446","19296",,,,,,,,
"210146","Southern Oregon University","2013","37","73","35","7438","21367","33829","5992","5500","1","2","2","8","0","55","18","67","85","5271","5721","12989","10779",,,"450","570","460","560","430","540",,
"210401","Willamette University","2013","79","58","12","42305","54813","54813","2855","2119","1","6","2","9","0","60","11","86","98","20984","7149",,,"31622","20331","540","660","540","650","535","640","24","29"
"210429","Western Oregon University","2013","44","88","41","8634","22581","35706","6177","5263","2","3","3","9","2","71","18","69","88","5611","6504","15828","15105",,,"410","530","420","540",,,,
"210438","University of Western States","2013","100",,,,,,"682","80","0","7","1","3","1","77","14",,,,,,,,,,,,,,,,
"234492","The Art Institute of Seattle","2013","28",,,"17560","35650","35650","1573","1573","0","2","1","11","0","9","20","62","86","5708","7519",,,"26625","25843",,,,,,,,
"234669","Bellevue College","2013","24",,,"3754",,,"13820","13820","1","17","4","10","0","48","19",,"43","4936","5303","7503","6345",,,,,,,,,,
"234827","Central Washington University","2013","51","82","41","8976","22785","34695","11287","10423","1","5","3","11","0","64","19","74","85","7039","5982","14374","8866",,,"430","550","450","550","420","520","18","23"
"234845","Centralia College","2013","41",,,"4335","17081","17501","3453","3453","2","1","3","8","1","75","18",,"73","6165","3750","6681","4623",,,,,,,,,,
"234915","City University of Seattle","2013","0",,,"14880",,,"2368","1272","1","4","6","6","1","41","7","40","64","1609","5622",,,"31659","31717",,,,,,,,
"234979","Columbia Basin College","2013","26",,,"4176",,,"6480","6480","1","2","1","29","0","61","21",,"66","5123","4357","8038","6893",,,,,,,,,,
"235024","Cornish College of the Arts","2013","47","59","30","33950","48370","48370","778","775","1","6","4","9","0","63","8","78","98","12038","7751",,,"33382","31163",,,,,,,,
"235097","Eastern Washington University","2013","45","80","38","7961","21626","33277","12791","11678","1","3","3","11","0","66","21","75","88","7325","5667","12547","7605",,,"420","540","430","550","410","520","18","23"
"235167","The Evergreen State College","2013","57","97","33","8574","22641","34728","4398","4087","3","2","5","7","0","66","23","74","85","7079","5789","13147","8687",,,"500","630","450","580","460","590","20","27"
"235422","Heritage University","2013","18",,,"17744",,,"1128","876","7","1","1","51","0","32","8","68","100","16199","6049",,,"9734","9263",,,,,,,,
"235510","ITT Technical Institute-Seattle","2013","33","93","38","18048",,,"444","444","3","13","17","8","0","48","23",,"75","3784","7297",,,"23662","23484",,,,,,,,
"235529","ITT Technical Institute-Spokane Valley","2013","30","95","41","18048",,,"297","297","2","3","3","3","0","82","23",,"94","5300","7556",,,"23375","22987",,,,,,,,
"235547","Bastyr University","2013",,,,,,,"1115","259","0","11","2","3","0","63","9",,,,,,,,,,,,,,,,
"235699","Lake Washington Institute of Technology","2013","20",,,"3907",,,"3819","3819","0","9","3","7","0","64","16",,"61","5685","6052","6049","6211",,,,,,,,,,
"236072","Seattle Community College-North Campus","2013","25",,,"3862",,,"6118","6118","0","9","6","6","0","45","17",,"60","6722","8262","4579","2398",,,,,,,,,,
"236188","Olympic College","2013","22",,,"3726","17334","17805","7329","7329","1","5","4","6","1","68","20",,"62","5358","6086","5316","5143",,,,,,,,,,
