119058,Monterey Institute of International Studies,"460 Pierce Street, Monterey, California 93940",www.miis.edu
119270,Musicians Institute,"6752 Hollywood Blvd., Hollywood, California 90028",www.mi.edu
119544,The National Hispanic University,"14271 Story Rd, San Jose, California 95127-3823",www.nhu.edu
119605,National University,"11255 North Torrey Pines Road, La Jolla, California 92037-1011",www.nu.edu
119775,Newschool of Architecture and Design,"1249 F St, San Diego, California 92101",www.newschoolarch.edu
120166,Northwestern Polytechnic University,"47671 Westinghouse Drive, Fremont, California 94539",www.npu.edu
120254,Occidental College,"1600 Campus Rd, Los Angeles, California 90041-3392",www.oxy.edu
120403,Otis College of Art and Design,"9045 Lincoln Blvd, Los Angeles, California 90045-3505",www.otis.edu
120698,Palo Alto University,"1791 Arastradero Rd, Palo Alto, California 94304-1337",www.paloaltou.edu
120768,Pacific Oaks College,"55 Eureka Street, Pasadena, California 91103",www.pacificoaks.edu
120838,Pacific States University,"3450 Wilshire Blvd. Suite 500, Los Angeles, California 90010",www.psuca.edu
120883,University of the Pacific,"3601 Pacific Ave, Stockton, California 95211-0197",www.pacific.edu
121257,Pitzer College,"1050 North Mills Avenue, Claremont, California 91711-6101",www.pitzer.edu
121275,Platt College-San Diego,"6250 El Cajon Blvd, San Diego, California 92115-3919",www.platt.edu
121345,Pomona College,"550 N College Ave, Claremont, California 91711-6319",www.pomona.edu
121381,Westwood College-South Bay,"19700 S. Vermont Avenue, Suite 100, Torrance, California 90502",www.westwood.edu
121691,University of Redlands,"1200 E. Colton Ave, Redlands, California 92373-0999",www.redlands.edu
121983,Argosy University-San Francisco Bay Area,"1005 Atlantic Avenue, Alameda, California 94501",www.argosy.edu/sanfrancisco
122296,Samuel Merritt University,"3100 Telegraph Avenue, Oakland, California 94609",www.samuelmerritt.edu
122409,San Diego State University,"5500 Campanile Dr, San Diego, California 92182",www.sdsu.edu
122454,San Francisco Art Institute,"800 Chestnut St, San Francisco, California 94133-2299",www.sfai.edu
122506,San Francisco Conservatory of Music,"50 Oak Street, San Francisco, California 94102-6011",www.sfcm.edu
122597,San Francisco State University,"1600 Holloway Ave, San Francisco, California 94132",www.sfsu.edu
122755,San Jose State University,"1 Washington Sq, San Jose, California 95192-0001",www.sjsu.edu
122834,Santa Barbara Business College-Bakersfield,"5300 California Avenue, Bakersfield, California 93309",sbbcollege.edu
122843,Westwood College-Los Angeles,"3250 Wilshire Blvd Ste 400, Los Angeles, California 90010",www.westwood.edu
122852,Santa Barbara Business College-Santa Maria,"303 E Plaza Dr Ste 1, Santa Maria, California 93454",sbbcollege.edu
123165,Scripps College,"1030 North Columbia Avenue, Claremont, California 91711-3905",www.scrippscollege.edu
123572,Sonoma State University,"1801 E Cotati Ave, Rohnert Park, California 94928-3609",www.sonoma.edu
123633,South Baylo University,"1126 N Brookhurst St, Anaheim, California 92801-1701",WWW.SOUTHBAYLO.EDU
123952,Southern California Institute of Architecture,"960 E. 3rd Street, Los Angeles, California 90013-1822",www.sciarc.edu
123961,University of Southern California,"University Park, Los Angeles, California 90089",www.usc.edu/
125727,Westmont College,"955 La Paz Rd, Santa Barbara, California 93108-1089",www.westmont.edu
125763,Whittier College,"13406 E Philadelphia Street, Whittier, California 90601",www.whittier.edu
125897,Woodbury University,"7500 Glenoaks Blvd, Burbank, California 91510-7846",woodbury.edu/
126076,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,"7215 Waring Ave, Los Angeles, California 90046",www.yoec.edu/
126182,Adams State University,"208 Edgemont Blvd, Alamosa, Colorado 81101",www.adams.edu
126562,University of Colorado Denver,"1380 Lawrence Street, Lawrence Street Center, Suite 1400, Denver, Colorado 80217-3364",www.ucdenver.edu/
126580,University of Colorado Colorado Springs,"1420 Austin Bluffs Parkway, Colorado Springs, Colorado 80918",www.uccs.edu
126614,University of Colorado Boulder,"Regent Drive at Broadway, Boulder, Colorado 80309-0017",www.colorado.edu
126678,Colorado College,"14. E Cache La Poudre St., Colorado Springs, Colorado 80903",www.coloradocollege.edu
126702,The Art Institute of Colorado,"1200 Lincoln Street, Denver, Colorado 80203-2983",www.artinstitutes.edu/denver/
126711,Colorado Mountain College,"802 Grand Ave., Glenwood Springs, Colorado 81601-0233",coloradomtn.edu/
126775,Colorado School of Mines,"1500 Illinois St, Golden, Colorado 80401",www.mines.edu
126818,Colorado State University-Fort Collins,"102 Administration Building, Fort Collins, Colorado 80523-0100",www.colostate.edu
126827,Colorado Technical University-Colorado Springs,"4435 N Chestnut Street, Colorado Springs, Colorado 80907-3812",www.coloradotech.edu/Colorado-Springs
126872,CollegeAmerica-Denver,"1385 S Colorado Blvd., 5th Floor, Denver, Colorado 80222",www.collegeamerica.edu
127024,Westwood College-Denver North,"7350 N Broadway, Denver, Colorado 80221",www.westwood.edu
127060,University of Denver,"2199 S. University Blvd, Denver, Colorado 80208",www.du.edu
127185,Fort Lewis College,"1000 Rim Drive, Durango, Colorado 81301-3999",fortlewis.edu/
